0,Dwarf remains,item_model_ground,2595
1,Toolkit,item_model_ground,2679
2,Cannonball,item_model_ground,2413
3,Nulodion's notes,item_model_ground,2794
4,Ammo mould,item_model_ground,2706
5,Instruction manual,item_model_ground,2794
6,Cannon base,item_model_ground,2461
8,Cannon stand,item_model_ground,2642
10,Cannon barrels,item_model_ground,2361
12,Cannon furnace,item_model_ground,2769
14,Railing,item_model_ground,4877
15,Holy table napkin,item_model_ground,2443
16,Magic whistle,item_model_ground,2433
17,Grail bell,item_model_ground,2536
18,Magic gold feather,item_model_ground,2476
19,Holy grail,item_model_ground,2623
20,White cog,item_model_ground,2351
21,Black cog,item_model_ground,2351
22,Blue cog,item_model_ground,2351
23,Red cog,item_model_ground,2351
24,Rat poison,item_model_ground,2714
25,Red vine worm,item_model_ground,2519
26,Fishing trophy,item_model_ground,14343
27,Fishing pass,item_model_ground,14342
28,Insect repellent,item_model_ground,2684
30,Bucket of wax,item_model_ground,2504
32,Lit black candle,item_model_ground,2575
33,Lit candle,item_model_ground,2575
35,Excalibur,item_model_ground,2458
35,Excalibur,item_model_male0,501
35,Excalibur,item_model_female0,501
36,Candle,item_model_ground,2467
38,Black candle,item_model_ground,2467
39,Bronze arrowtips,item_model_ground,2551
40,Iron arrowtips,item_model_ground,2551
41,Steel arrowtips,item_model_ground,2551
42,Mithril arrowtips,item_model_ground,2551
43,Adamant arrowtips,item_model_ground,2551
44,Rune arrowtips,item_model_ground,2551
45,Opal bolt tips,item_model_ground,16857
46,Pearl bolt tips,item_model_ground,16857
47,Barb bolttips,item_model_ground,2445
48,Longbow (u),item_model_ground,2401
48,Longbow (u),item_model_male0,26609
48,Longbow (u),item_model_female0,26609
50,Shortbow (u),item_model_ground,2435
50,Shortbow (u),item_model_male0,26610
50,Shortbow (u),item_model_female0,26610
52,Arrow shaft,item_model_ground,9032
53,Headless arrow,item_model_ground,9028
54,Oak shortbow (u),item_model_ground,2435
54,Oak shortbow (u),item_model_male0,26610
54,Oak shortbow (u),item_model_female0,26610
56,Oak longbow (u),item_model_ground,2401
56,Oak longbow (u),item_model_male0,26609
56,Oak longbow (u),item_model_female0,26609
58,Willow longbow (u),item_model_ground,2401
58,Willow longbow (u),item_model_male0,26609
58,Willow longbow (u),item_model_female0,26609
60,Willow shortbow (u),item_model_ground,2435
60,Willow shortbow (u),item_model_male0,26610
60,Willow shortbow (u),item_model_female0,26610
62,Maple longbow (u),item_model_ground,2401
62,Maple longbow (u),item_model_male0,26609
62,Maple longbow (u),item_model_female0,26609
64,Maple shortbow (u),item_model_ground,2435
64,Maple shortbow (u),item_model_male0,26610
64,Maple shortbow (u),item_model_female0,26610
66,Yew longbow (u),item_model_ground,2401
66,Yew longbow (u),item_model_male0,26609
66,Yew longbow (u),item_model_female0,26609
68,Yew shortbow (u),item_model_ground,2435
68,Yew shortbow (u),item_model_male0,26610
68,Yew shortbow (u),item_model_female0,26610
70,Magic longbow (u),item_model_ground,2401
70,Magic longbow (u),item_model_male0,26609
70,Magic longbow (u),item_model_female0,26609
72,Magic shortbow (u),item_model_ground,2435
72,Magic shortbow (u),item_model_male0,26610
72,Magic shortbow (u),item_model_female0,26610
74,Khazard helmet,item_model_ground,2833
74,Khazard helmet,item_model_male0,219
74,Khazard helmet,item_model_female0,395
75,Khazard armour,item_model_ground,2605
75,Khazard armour,item_model_male0,306
75,Khazard armour,item_model_male1,157
75,Khazard armour,item_model_female0,468
75,Khazard armour,item_model_female1,339
76,Khazard cell keys,item_model_ground,2424
77,Khali brew,item_model_ground,2660
78,Ice arrows,item_model_ground,2711
83,Lever,item_model_ground,2615
84,Staff of armadyl,item_model_ground,2810
85,Shiny key,item_model_ground,2372
86,Pendant of lucien,item_model_ground,2508
86,Pendant of lucien,item_model_male0,282
86,Pendant of lucien,item_model_female0,446
87,Armadyl pendant,item_model_ground,2508
87,Armadyl pendant,item_model_male0,282
87,Armadyl pendant,item_model_female0,446
88,Boots of lightness,item_model_ground,2837
88,Boots of lightness,item_model_male0,185
88,Boots of lightness,item_model_female0,361
89,Boots of lightness,item_model_ground,2837
89,Boots of lightness,item_model_male0,185
89,Boots of lightness,item_model_female0,361
90,Child's blanket,item_model_ground,2725
91,Guam potion (unf),item_model_ground,2697
93,Marrentill potion (unf),item_model_ground,2697
95,Tarromin potion (unf),item_model_ground,2697
97,Harralander potion (unf),item_model_ground,2697
99,Ranarr potion (unf),item_model_ground,2697
101,Irit potion (unf),item_model_ground,2697
103,Avantoe potion (unf),item_model_ground,2697
105,Kwuarm potion (unf),item_model_ground,2697
107,Cadantine potion (unf),item_model_ground,2697
109,Dwarf weed potion (unf),item_model_ground,2697
111,Torstol potion (unf),item_model_ground,2697
113,Strength potion(4),item_model_ground,2789
115,Strength potion(3),item_model_ground,2697
117,Strength potion(2),item_model_ground,2384
119,Strength potion(1),item_model_ground,2621
121,Attack potion(3),item_model_ground,2697
123,Attack potion(2),item_model_ground,2384
125,Attack potion(1),item_model_ground,2621
127,Restore potion(3),item_model_ground,2697
129,Restore potion(2),item_model_ground,2384
131,Restore potion(1),item_model_ground,2621
133,Defence potion(3),item_model_ground,2697
135,Defence potion(2),item_model_ground,2384
137,Defence potion(1),item_model_ground,2621
139,Prayer potion(3),item_model_ground,2697
141,Prayer potion(2),item_model_ground,2384
143,Prayer potion(1),item_model_ground,2621
145,Super attack(3),item_model_ground,2697
147,Super attack(2),item_model_ground,2384
149,Super attack(1),item_model_ground,2621
151,Fishing potion(3),item_model_ground,2697
153,Fishing potion(2),item_model_ground,2384
155,Fishing potion(1),item_model_ground,2621
157,Super strength(3),item_model_ground,2697
159,Super strength(2),item_model_ground,2384
161,Super strength(1),item_model_ground,2621
163,Super defence(3),item_model_ground,2697
165,Super defence(2),item_model_ground,2384
167,Super defence(1),item_model_ground,2621
169,Ranging potion(3),item_model_ground,2697
171,Ranging potion(2),item_model_ground,2384
173,Ranging potion(1),item_model_ground,2621
175,Antipoison(3),item_model_ground,2697
177,Antipoison(2),item_model_ground,2384
179,Antipoison(1),item_model_ground,2621
